7:29,76,239,302,508,616,861,901,1023,1382
18:17,138,380,449,521,1510,1622,2163,4048,5581
19:40,375,535,875,1069,1930,2162,2275,2703,4249
36:17,29,70,94,322,616,654,861,873,1382
37:17,61,84,138,301,302,508,654,787,899
41:17,58,101,138,356,402,901,902,1023,1462
42:17,58,84,289,361,518,736,861,899,1102
43:17,48,58,101,138,289,554,899,1187,1804
44:8,15,76,84,289,301,302,354,616,866
45:17,347,4858,11557,11751,14021,15580,19829,65060,74038
46:58,61,76,94,289,302,508,554,1102,1382
59:29,61,76,138,654,899,947,1102,1119,2139
60:29,45,76,162,302,616,891,901,1023,1462
69:58,61,101,138,289,302,354,361,508,899
70:3,30,48,239,302,496,546,726,899,1187
94:17,29,32,301,302,322,361,508,736,899
106:8,29,32,101,162,239,554,873,899,1109
115:8,15,29,58,289,354,787,861,899,1119
116:17,138,449,834,859,1164,1200,1784,4671,4880
142:8,29,58,84,162,364,554,861,1102,1119
143:8,17,29,58,76,84,302,616,654,866
148:17,94,116,138,378,901,986,1023,1382,1405
150:17,73,101,289,554,861,1549,1804,4174,5575
156:3,239,301,302,356,568,726,787,999,1089
161:29,32,76,84,101,289,327,361,616,2139
171:76,101,162,245,289,302,508,554,861,1382
172:138,162,239,364,483,654,861,1140,1535,3234
174:8,17,29,58,76,84,302,616,654,866
177:17,29,114,749,873,931,1140,1476,1550,3234
196:29,76,101,238,289,508,554,650,1119,1382
202:8,32,58,138,162,245,302,554,861,1102
211:17,431,481,571,815,873,1339,2583,4107,7048
217:17,302,901,1023,1126,2626,3841,4187,4268,4697
220:8,17,29,58,76,84,302,616,654,866
223:45,48,58,119,239,302,554,899,1119,2030
224:8,17,29,58,76,84,302,616,654,866
225:15,32,96,138,239,302,353,1109,1119,1187
228:17,86,254,568,650,3017,3163,5514,7194,10039
229:58,94,101,358,361,364,508,787,861,866
231:3,94,119,179,239,302,378,901,1126,1382
232:17,138,224,226,301,361,518,650,866,899
238:17,61,94,357,774,1344,1382,1744,3250,4919
241:29,58,61,76,94,239,289,402,554,1382
245:40,70,81,226,262,780,873,986,1535,2162
249:17,29,254,302,495,546,749,1476,1499,3234
250:29,94,285,302,358,654,787,899,1119,1382
253:17,176,189,678,1435,1449,1551,3789,8011,8066
257:17,65,101,289,354,554,861,1344,1462,1550
272:29,239,495,654,726,749,1102,1476,1762,3234
273:17,32,101,289,301,302,327,554,654,861
288:17,29,301,354,361,364,616,899,1023,1119
290:17,94,138,179,449,901,1126,1382,1832,2618
291:17,88,1050,4753,5006,5347,9581,10511,16852,61772
292:58,138,289,361,483,654,1344,1410,1462,3234
294:17,48,97,101,289,363,554,861,899,1102
328:3,76,239,302,395,654,726,837,1567,2868
331:17,302,495,690,692,749,813,1476,1822,3234
345:17,138,224,226,301,361,518,650,866,899
361:29,45,76,239,364,546,749,1086,1476,3234
376:3,17,45,194,302,395,1140,1567,2868,3730
384:17,97,101,289,301,483,554,616,654,1804
401:29,32,58,239,354,356,554,616,899,1102
402:94,101,239,289,302,654,749,861,1382,3234
410:17,179,354,378,901,1126,1499,3841,4187,4755
448:58,94,101,138,245,289,302,518,616,1382
449:17,61,65,94,138,361,866,899,1119,2139
450:29,76,138,285,302,354,363,654,866,899
452:8,17,29,58,76,84,302,616,654,866
476:17,245,398,3493,4793,5117,5178,7959,8213,24568
488:17,94,138,508,616,787,861,902,1102,1196
490:15,17,29,76,101,138,289,302,354,899
494:17,29,58,101,138,289,301,356,554,616
500:8,17,58,76,302,616,654,8861,12253,14750
514:17,96,97,209,610,1109,1549,2030,2848,3757
525:29,116,239,302,402,496,654,1187,1476,3234
535:17,29,76,101,289,508,554,861,1102,1382
536:29,94,239,302,483,508,654,899,901,1119
538:3,239,294,302,394,901,999,1023,1102,1126
539:17,29,32,61,138,508,787,861,899,1119
564:32,65,76,94,289,508,518,554,861,873
582:29,32,76,138,239,899,1023,1109,1119,1550
585:17,22,30,302,901,1126,1362,1499,3841,4187
590:29,101,239,356,483,554,654,861,1023,2200
601:17,138,224,226,301,361,518,650,866,899
618:17,221,5157,7264,7806,11506,13150,13206,15141,62001
624:17,3190,3864,3915,4485,4966,5827,6266,8514,9368
627:8,17,29,58,76,84,302,616,654,866
628:8,17,29,58,76,84,302,616,654,866
632:17,58,76,302,616,654,1937,16386,52165,76752
633:58,61,94,138,289,302,364,508,554,873
634:17,367,559,1600,2115,4697,4907,4967,9916,22689
646:17,201,500,546,1164,1913,2008,2848,3081,4880
666:17,311,1340,1875,4671,4696,7622,10981,14955,16036
667:17,94,162,364,429,483,1140,1382,1405,2200
669:17,138,224,226,301,361,518,650,866,899
678:17,65,76,84,378,787,861,901,1102,1535
680:17,29,58,65,101,138,289,483,554,1462
681:17,116,361,827,1205,1410,1744,1951,2153,3599
682:17,94,378,431,508,866,873,931,1089,1382
683:94,226,301,669,698,787,873,947,1119,2139
684:17,574,877,1099,1139,2103,7180,7711,7994,14754
715:669,7658,10722,11946,12861,14375,23367,31045,50042,77110
716:17,32,96,209,331,454,1109,2030,7010,7178
741:17,61,179,301,364,834,901,1023,1126,3841
750:32,76,138,162,322,354,866,873,1102,1119
754:17,32,58,65,70,101,289,302,554,787
756:76,101,285,289,554,749,999,1535,1804,3234
757:17,470,1091,4008,4765,4816,9598,11535,11861,12915
758:15,17,32,96,162,356,407,736,1109,1140
763:17,29,45,84,101,289,354,554,1140,3234
773:17,3141,7742,10256,13958,26219,28635,31208,34246,45008
774:17,76,138,245,289,301,302,361,508,518
775:15,58,76,101,554,901,931,1102,1109,1550
782:61,94,131,239,302,508,654,901,1023,1344
784:17,29,101,285,289,302,354,361,508,861
793:8,29,101,238,239,289,394,554,654,1462
803:17,138,449,472,496,521,1119,1832,2618,6450
813:17,101,138,289,554,901,931,1023,1109,1344
815:138,239,302,354,378,394,749,861,1239,1344
817:3,29,76,239,486,495,749,1102,1476,1499
818:17,559,574,1435,1551,1790,2115,3789,4697,4967
823:17,94,179,901,1023,1126,1382,1744,3250,3841
825:29,94,239,394,508,616,654,1102,1119,1382
833:58,70,76,138,301,302,354,361,508,866
835:58,97,101,138,239,245,302,356,394,1804
838:94,224,226,262,301,669,787,873,947,1119
844:29,76,94,239,546,749,861,1382,1476,3234
850:17,22,278,354,546,1044,1499,2430,2976,4068
856:70,138,301,327,364,394,866,899,1119,1382
857:76,101,239,289,302,486,554,861,901,1023
874:29,58,76,101,238,289,301,302,508,736
891:8,17,29,58,76,84,302,616,650,654
899:17,94,138,354,654,873,901,1023,1382,1410
900:17,398,2447,3180,3829,4126,8209,9337,13384,24211
911:3,179,239,302,395,726,1023,1126,2868,3841
